Date,Open,High,Low,Close,Volume
2021-03-05,48173.13,49016.31,47364.64,48977.75,1280505
2021-03-06,48977.75,52061.45,48736.71,51788.03,1523123
2021-03-07,51788.03,52725.71,51195.38,52166.98,5019959
2021-03-08,52166.98,52867.06,49819.9,51074.6,3146288
2021-03-09,51074.6,51226.95,49875.3,50071.6,3071686
2021-03-10,50071.6,51085.41,49211.62,49770.81,9545711
2021-03-11,49770.81,49894.9,48331.05,49223.8,4001946
2021-03-12,49223.8,49469.1,48515.24,49428.21,2698633
2021-03-13,49428.21,51129.97,48646.42,51010.75,3400743
2021-03-14,51010.75,53081.26,50862.88,52955.5,2976883
2021-03-15,52955.5,53521.85,48612.78,49777.37,2742091
2021-03-16,49777.37,50191.5,47288.93,48051.25,2646930
2021-03-17,48051.25,51494.94,47740.09,50527.38,4273797
2021-03-18,50527.38,52653.78,50249.86,52063.72,955894
2021-03-19,52063.72,52661.2,51076.2,52220.4,4410711
2021-03-20,52220.4,52369.32,51600.74,51965.44,2015634
2021-03-21,51965.44,55013.9,51510.45,54630.56,2906836
2021-03-22,54630.56,54898.88,52083.48,52797.54,2472622
2021-03-23,52797.54,53503.89,51121.01,51375.26,3189134
2021-03-24,51375.26,52197.58,49941.39,50266.26,2671691
2021-03-25,50266.26,54202.35,49647.12,53280.43,3594057
2021-03-26,53280.43,56194.01,52952.34,55943.7,6703174
2021-03-27,55943.7,57202.57,55752.12,56506.12,8501598
2021-03-28,56506.12,57305.12,55983.92,57194.58,4908251
2021-03-29,57194.58,57559.04,54085.03,54547.88,2046982
2021-03-30,54547.88,55380.98,54546.99,55238.52,2641833
2021-03-31,55238.52,57812.56,54927.38,57759.67,11636169
2021-04-01,57759.67,60877.62,57642.35,60641.17,3351056
2021-04-02,60641.17,64937.06,60488.85,64120.17,2605412
2021-04-03,64120.17,65377.76,59499.05,59630.28,1274492
2021-04-04,59630.28,62109.99,59355.54,61711.5,4382162
2021-04-05,61711.5,62455.69,57419.34,58483.33,5164416
2021-04-06,58483.33,59671.79,53218.19,54090.01,2177139
2021-04-07,54090.01,55708.23,54066.37,55204.69,5591963
2021-04-08,55204.69,55602.4,54926.88,55406.83,5513203
2021-04-09,55406.83,55449.37,53824.53,55004.85,4224749
2021-04-10,55004.85,55643.09,51678.62,52714.06,2962041
2021-04-11,52714.06,52736.02,50413.04,50504.71,2218593
2021-04-12,50504.71,50756.91,50116.47,50597.2,2212930
2021-04-13,50597.2,53937.13,50158.6,53801.3,4137152
2021-04-14,53801.3,54286.51,53024.4,53180.57,2560249
2021-04-15,53180.57,54411.06,53140.55,53717.55,2110627
2021-04-16,53717.55,54358.54,51745.93,52450.39,1700055
2021-04-17,52450.39,57583.97,51357.08,57226.86,6553119
2021-04-18,57226.86,57837.73,53142.68,53263.05,4974690
2021-04-19,53263.05,54168.36,52934.37,53295.38,1742060
2021-04-20,53295.38,55589.15,52870.36,55566.19,3515182
2021-04-21,55566.19,59157.07,55407.28,59113.03,7972880
2021-04-22,59113.03,61794.67,58734.36,61741.72,2175149
2021-04-23,61741.72,65969.7,61733.72,65794.71,2109898
2021-04-24,65794.71,66108.44,64915.43,65404.64,1121973
2021-04-25,65404.64,71431.13,65023.6,70041.52,3724537
2021-04-26,70041.52,70758.61,69786.74,69935.85,3540458
2021-04-27,69935.85,71568.8,69580.29,71110.99,1756932
2021-04-28,71110.99,71362.12,63955.54,64172.19,2660598
2021-04-29,64172.19,64449.77,62798.02,63141.18,5484631
2021-04-30,63141.18,63368.98,57623.93,58324.54,2665660
2021-05-01,58324.54,58912.5,53652.12,54222.32,2144093
2021-05-02,54222.32,54231.02,50852.27,51277.57,1082119
2021-05-03,51277.57,52150.64,51192.86,51751.71,4344704
2021-05-04,51751.71,51958.91,49901.14,50218.91,10174004
2021-05-05,50218.91,50714.36,49670.83,50588.79,2172739
2021-05-06,50588.79,53526.93,50063.91,53312.59,2533194
2021-05-07,53312.59,53834.4,52636.4,52862.33,2479771
2021-05-08,52862.33,55231.02,52643.78,54698.49,8355227
2021-05-09,54698.49,55379.3,53180.94,53271.81,4964299
2021-05-10,53271.81,54510.23,51519.45,51664.1,1862174
2021-05-11,51664.1,61642.56,51211.76,61563.01,3621160
2021-05-12,61563.01,62364.46,60127.4,60326.04,2584026
2021-05-13,60326.04,60584.92,58801.38,59536.63,1886666
2021-05-14,59536.63,61541.72,59062.42,60716.75,4548861
2021-05-15,60716.75,62602.44,60078.14,61787.56,2888697
2021-05-16,61787.56,62286.44,61608.18,61707.75,4817358
2021-05-17,61707.75,63748.71,61264.5,62788.19,5141954
2021-05-18,62788.19,63199.53,61350.45,61373.18,4052012
2021-05-19,61373.18,63925.43,61018.25,63813.15,2073443
2021-05-20,63813.15,64841.79,61580.67,61931.92,5748470
2021-05-21,61931.92,67268.69,61744.2,66885.05,5857599
2021-05-22,66885.05,70080.82,65858.58,69386.53,13230248
2021-05-23,69386.53,73334.59,68992.61,73321.45,2926269
2021-05-24,73321.45,73997.2,70259.8,71268.22,3479930
2021-05-25,71268.22,71998.21,70154.14,70698.89,2392825
2021-05-26,70698.89,77247.28,70018.21,77132.35,3563590
2021-05-27,77132.35,82204.73,77122.32,81843.83,3371216
2021-05-28,81843.83,82580.86,76024.6,77075.25,4804001
2021-05-29,77075.25,78722.39,76900.09,78043.41,4751591
2021-05-30,78043.41,81277.26,77118.43,80866.91,2338406
2021-05-31,80866.91,83937.71,80732.33,83635.8,2006715
2021-06-01,83635.8,83940.34,81730.17,83661.21,812602
2021-06-02,83661.21,87203.8,83144.69,86291.59,1793922
2021-06-03,86291.59,86483.5,82305.32,83223.3,5813612
2021-06-04,83223.3,84755.61,82591.1,83657.94,3263544
2021-06-05,83657.94,85814.83,82788.77,83539.62,2074401
2021-06-06,83539.62,84245.07,78736.97,80972.43,2934821
2021-06-07,80972.43,81898.0,78650.88,80137.26,1993113
2021-06-08,80137.26,80809.72,79956.94,80630.28,5979192
2021-06-09,80630.28,81713.09,80527.32,81361.36,4314847
2021-06-10,81361.36,81462.16,76228.94,76445.71,2841071
2021-06-11,76445.71,78337.49,75476.36,77524.39,1681887
2021-06-12,77524.39,82670.62,76906.56,82092.46,3147485
2021-06-13,82092.46,82633.37,81113.4,81290.21,8648838
2021-06-14,81290.21,84411.14,80609.25,83339.27,6478455
2021-06-15,83339.27,88273.3,83080.63,87374.53,3463680
2021-06-16,87374.53,89651.49,83337.2,83636.22,2437211
2021-06-17,83636.22,83765.05,82609.3,83155.54,4856480
2021-06-18,83155.54,83707.38,81924.74,83044.05,6253820
2021-06-19,83044.05,87474.75,82977.9,85749.54,5425702
2021-06-20,85749.54,86850.68,79453.04,79592.67,6545547
2021-06-21,79592.67,83793.93,78788.67,83099.17,2963463
2021-06-22,83099.17,85069.97,79487.38,80000.1,2999761
2021-06-23,80000.1,80456.37,79457.93,80012.13,1527858
2021-06-24,80012.13,80543.83,77869.42,79346.34,2814037
2021-06-25,79346.34,81288.41,78981.28,80688.06,2885285
2021-06-26,80688.06,80910.05,77569.74,78076.1,4881331
2021-06-27,78076.1,78942.64,77426.87,78902.94,3626600
2021-06-28,78902.94,79423.24,78084.17,78569.85,2541202
2021-06-29,78569.85,78651.6,77141.64,77504.8,4214724
2021-06-30,77504.8,77947.73,73725.22,74193.71,11149677
2021-07-01,74193.71,75823.98,72534.98,74550.09,2343206
2021-07-02,74550.09,75204.92,68349.36,68765.13,3218817
2021-07-03,68765.13,70194.1,68101.12,70053.49,2133539
2021-07-04,70053.49,70678.51,70023.18,70235.33,5472448
2021-07-05,70235.33,71287.47,69460.14,70677.67,3493040
2021-07-06,70677.67,72369.24,70226.85,71137.62,2579038
2021-07-07,71137.62,71813.66,69401.94,70052.22,4400304
2021-07-08,70052.22,80103.99,69207.03,80028.16,2172810
2021-07-09,80028.16,81459.99,79847.52,81140.83,3274603
2021-07-10,81140.83,84788.64,80037.43,83544.33,4747490
2021-07-11,83544.33,87365.22,83321.62,85515.31,2674599
2021-07-12,85515.31,87252.96,84995.46,87211.14,3588714
2021-07-13,87211.14,87380.41,85623.75,85935.66,3567300
2021-07-14,85935.66,86764.96,80127.33,80577.7,3947550
2021-07-15,80577.7,85129.33,79207.08,85073.4,2667770
2021-07-16,85073.4,85224.61,80664.18,81496.45,4658379
2021-07-17,81496.45,82737.45,81315.19,82273.36,1842291
2021-07-18,82273.36,82794.37,80774.34,82025.66,2312976
2021-07-19,82025.66,82225.26,81394.06,81976.81,2339480
2021-07-20,81976.81,82460.44,81909.47,82271.7,5715246
2021-07-21,82271.7,83721.52,81893.31,83340.86,4429322
2021-07-22,83340.86,89709.38,81975.64,89420.33,6924105
2021-07-23,89420.33,92085.76,89022.72,90653.68,1987369
2021-07-24,90653.68,95177.89,88874.31,93570.54,2696512
2021-07-25,93570.54,94808.4,92433.51,94739.92,4737605
2021-07-26,94739.92,98779.78,94585.72,97951.1,2072161
2021-07-27,97951.1,98376.45,96791.93,98000.93,2349343
2021-07-28,98000.93,101701.39,97539.24,101608.34,5595997
2021-07-29,101608.34,104975.44,101504.93,103957.93,2850440
2021-07-30,103957.93,105750.85,102363.48,104828.05,5028155
2021-07-31,104828.05,110187.78,102610.14,109574.86,2950168
2021-08-01,109574.86,119335.2,108939.66,117952.51,3229854
2021-08-02,117952.51,119385.07,115124.97,117154.34,5595881
2021-08-03,117154.34,127522.0,115196.08,126983.54,2951974
2021-08-04,126983.54,141072.75,124789.84,139616.88,4065965
2021-08-05,139616.88,140110.18,138915.64,139942.2,3633829
2021-08-06,139942.2,145587.1,139266.02,145426.06,7181317
2021-08-07,145426.06,147555.65,137156.35,139332.45,8893831
2021-08-08,139332.45,141813.72,138717.94,138957.82,5085123
2021-08-09,138957.82,144512.09,138217.37,142269.37,1746450
2021-08-10,142269.37,150427.16,141566.52,149267.33,3724104
2021-08-11,149267.33,150269.85,146067.11,146541.61,2825667
2021-08-12,146541.61,146615.5,137156.19,138222.85,786799
2021-08-13,138222.85,146422.35,137705.51,143918.57,3130106
2021-08-14,143918.57,149974.29,143245.47,148128.95,3887403
2021-08-15,148128.95,148835.59,144932.28,148033.82,3712020
2021-08-16,148033.82,149860.09,144634.93,146838.63,5000812
2021-08-17,146838.63,147351.47,129121.74,129775.56,1113546
2021-08-18,129775.56,134409.24,129549.87,133117.6,5636187
2021-08-19,133117.6,133176.49,130423.69,130844.52,2609051
2021-08-20,130844.52,132287.44,130594.69,131658.53,2090091
2021-08-21,131658.53,133786.08,125757.26,127730.0,4204704
2021-08-22,127730.0,128104.25,117505.91,118373.21,4208907
2021-08-23,118373.21,121957.4,117420.08,120977.4,1777136
2021-08-24,120977.4,133845.0,119812.43,133582.4,3812555
2021-08-25,133582.4,133672.56,130162.04,131617.1,5918035
2021-08-26,131617.1,136230.62,130601.51,134691.09,3791658
2021-08-27,134691.09,139916.45,132517.57,139564.22,4101105
2021-08-28,139564.22,140909.74,137061.04,138511.14,4346907
2021-08-29,138511.14,143050.44,138303.29,142147.24,3480854
2021-08-30,142147.24,142169.38,139620.84,141428.33,1437088
2021-08-31,141428.33,143624.09,136311.62,137188.2,1686987
2021-09-01,137188.2,146676.02,134102.71,145209.67,2323310
2021-09-02,145209.67,147295.71,143191.88,145655.46,1435897
2021-09-03,145655.46,154698.49,144665.04,151014.12,4358917
2021-09-04,151014.12,151606.22,148699.9,149829.56,2840988
2021-09-05,149829.56,149976.91,139731.51,141101.47,2400713
2021-09-06,141101.47,141661.41,130495.23,131799.55,5232426
2021-09-07,131799.55,132095.62,126164.4,127399.15,4305994
2021-09-08,127399.15,136062.38,125369.69,135760.6,4074413
2021-09-09,135760.6,136553.35,134974.6,135803.05,3374791
2021-09-10,135803.05,138374.51,135736.7,138182.14,3336042
2021-09-11,138182.14,139098.15,133374.37,134925.23,2812397
2021-09-12,134925.23,135939.02,132799.03,133759.97,5113845
2021-09-13,133759.97,135428.95,132195.55,132512.89,2211078
2021-09-14,132512.89,144723.68,131673.06,142954.16,4020430
2021-09-15,142954.16,143139.74,126269.3,127159.86,2370237
2021-09-16,127159.86,128116.99,120574.05,121383.66,1506401
2021-09-17,121383.66,123685.69,117640.85,118880.31,2520765
2021-09-18,118880.31,120123.48,111298.17,112137.67,5045723
2021-09-19,112137.67,118689.62,110526.06,116687.61,1774237
2021-09-20,116687.61,119114.65,112041.91,112628.61,3622642
2021-09-21,112628.61,113556.68,106261.04,107437.79,4716075
2021-09-22,107437.79,107640.94,100905.31,102441.51,1681468
2021-09-23,102441.51,102616.16,101596.4,102499.93,3543834
2021-09-24,102499.93,103388.11,102164.92,102998.81,1803282
2021-09-25,102998.81,118775.16,101874.78,118419.79,4432919
2021-09-26,118419.79,118794.48,113927.68,114010.91,4828464
2021-09-27,114010.91,115828.99,113791.95,114424.94,2800873
2021-09-28,114424.94,115249.64,113199.92,115074.18,2095131
2021-09-29,115074.18,115349.07,110289.64,112352.67,4214306
2021-09-30,112352.67,114771.5,107221.92,108126.21,3320524
2021-10-01,108126.21,109187.07,108037.73,109185.38,3111312
2021-10-02,109185.38,113134.25,108564.72,112806.8,4411816
2021-10-03,112806.8,113073.43,110322.28,110917.37,2086014
2021-10-04,110917.37,111147.82,110667.64,111137.69,3608452
2021-10-05,111137.69,121199.43,111126.18,120836.75,1696506
2021-10-06,120836.75,121205.58,115861.62,116452.92,3358463
2021-10-07,116452.92,117205.82,108197.05,109223.02,3041788
2021-10-08,109223.02,109878.28,103695.8,104707.81,4027253
2021-10-09,104707.81,104773.42,102136.64,102288.71,2761976
2021-10-10,102288.71,102598.11,100179.24,100194.96,2270780
2021-10-11,100194.96,101109.17,92490.59,94914.64,5215575
2021-10-12,94914.64,95127.97,89376.07,90468.76,2790342
2021-10-13,90468.76,103624.45,90258.27,102840.6,1937213
2021-10-14,102840.6,105763.25,102370.06,104336.29,1799827
2021-10-15,104336.29,108388.46,104208.64,107855.9,2629808
2021-10-16,107855.9,112497.08,107115.02,111044.56,2599661
2021-10-17,111044.56,115413.59,109920.9,114001.91,3838246
2021-10-18,114001.91,116224.81,113669.65,116089.38,2268567
2021-10-19,116089.38,116530.24,114468.25,115401.77,2291629
2021-10-20,115401.77,116957.42,113659.87,115443.05,2848025
2021-10-21,115443.05,116569.95,114362.98,115058.33,3147412
2021-10-22,115058.33,120263.22,115046.79,119575.22,2492260
2021-10-23,119575.22,122291.83,115764.4,116475.94,5940274
2021-10-24,116475.94,124344.37,116329.25,121663.92,2283585
2021-10-25,121663.92,122946.18,120832.23,121912.39,4661122
2021-10-26,121912.39,122055.52,119967.01,121132.55,3183749
2021-10-27,121132.55,121581.35,117899.06,117942.43,1967734
2021-10-28,117942.43,119210.25,117671.22,118229.57,2075782
2021-10-29,118229.57,119150.59,116052.78,117360.74,2718281
2021-10-30,117360.74,118969.78,116984.27,118772.17,3264767
2021-10-31,118772.17,122432.27,116243.57,121992.86,4612769
2021-11-01,121992.86,125683.52,121813.53,123705.32,2724420
2021-11-02,123705.32,124830.22,119592.55,120242.04,3824837
2021-11-03,120242.04,120570.74,116419.0,117828.34,3204704
2021-11-04,117828.34,119916.97,113178.48,113930.43,6700036
2021-11-05,113930.43,115675.14,112571.06,114693.02,2909678
2021-11-06,114693.02,120430.62,114285.5,120133.86,4435372
2021-11-07,120133.86,121523.67,118812.5,121284.22,2128540
2021-11-08,121284.22,124707.04,120451.53,123244.08,1080988
2021-11-09,123244.08,128636.97,122224.86,128530.18,4871445
2021-11-10,128530.18,134774.19,128232.62,133725.74,611820
2021-11-11,133725.74,134984.88,131615.68,132513.42,4573885
2021-11-12,132513.42,133672.95,119152.6,120558.98,2454665
2021-11-13,120558.98,122458.75,119878.73,121443.77,3585023
2021-11-14,121443.77,130690.21,119463.11,128120.0,5273580
2021-11-15,128120.0,129180.64,124420.04,125446.44,3263506
2021-11-16,125446.44,126015.0,123641.55,124824.67,4597472
2021-11-17,124824.67,125824.44,112023.37,112832.18,1285594
2021-11-18,112832.18,112969.55,112404.69,112618.49,4361728
2021-11-19,112618.49,121362.47,112363.43,120069.69,2023380
2021-11-20,120069.69,121376.95,117138.79,118625.59,3891565
2021-11-21,118625.59,120018.81,98736.67,100430.93,7549328
2021-11-22,100430.93,102239.99,99845.0,102038.67,1705807
2021-11-23,102038.67,104902.1,96988.18,97140.08,3859259
2021-11-24,97140.08,97277.86,95486.8,95582.3,3516514
2021-11-25,95582.3,95913.09,94073.96,94124.55,4908498
2021-11-26,94124.55,95022.13,91015.06,91075.65,3695546
2021-11-27,91075.65,95092.12,90917.26,94865.11,3003757
2021-11-28,94865.11,95854.93,93618.81,95388.5,1890494
2021-11-29,95388.5,95494.34,94586.9,94920.35,7609794
2021-11-30,94920.35,99240.99,94821.17,98868.34,10615121
2021-12-01,98868.34,99472.24,95773.28,96068.27,3061141
2021-12-02,96068.27,96226.0,93046.99,93396.7,3326974
2021-12-03,93396.7,94701.1,91662.01,91881.89,6680224
2021-12-04,91881.89,92388.67,86711.04,87671.35,2931821
2021-12-05,87671.35,88241.38,84205.28,84309.13,5720870
2021-12-06,84309.13,85154.8,81659.28,81907.02,2174953
2021-12-07,81907.02,81936.94,74672.86,75873.78,3750278
2021-12-08,75873.78,77543.25,74673.0,76899.35,3952796
2021-12-09,76899.35,83551.36,75912.78,81897.87,2061747
2021-12-10,81897.87,86001.08,80092.81,85604.59,1945974
2021-12-11,85604.59,86355.5,84225.32,85309.29,2295238
2021-12-12,85309.29,86268.08,80299.0,82577.82,5563218
2021-12-13,82577.82,82753.5,78484.8,79108.89,2853463
2021-12-14,79108.89,80280.74,79034.44,79263.65,2782694
2021-12-15,79263.65,81974.53,78582.5,81511.8,5787393
2021-12-16,81511.8,81814.64,80759.85,81567.39,5878801
2021-12-17,81567.39,81863.93,78790.69,79188.3,4322504
2021-12-18,79188.3,80140.69,78805.21,80080.65,2906011
2021-12-19,80080.65,81309.5,79859.06,80962.3,4714108
2021-12-20,80962.3,81642.24,77844.52,77898.88,5504132
2021-12-21,77898.88,78134.05,76271.55,76730.68,7426188
2021-12-22,76730.68,77803.2,75854.32,77476.65,8952463
2021-12-23,77476.65,82265.63,77107.09,81845.36,4561787
2021-12-24,81845.36,82398.19,72218.56,72423.73,2872081
2021-12-25,72423.73,74334.67,71427.27,73983.32,5423614
2021-12-26,73983.32,74076.42,68689.07,69043.89,3576126
2021-12-27,69043.89,70302.48,68207.02,69960.25,4960992
2021-12-28,69960.25,71157.74,69867.46,70697.94,2008171
2021-12-29,70697.94,73596.52,70519.12,73508.03,3166941
2021-12-30,73508.03,81579.15,73222.64,80817.39,2307765
2021-12-31,80817.39,83696.33,80006.62,83283.9,9142332
2022-01-01,83283.9,86926.74,82058.22,85026.83,2867391
2022-01-02,85026.83,85476.03,79527.32,80052.15,7017108
2022-01-03,80052.15,80688.07,78151.52,79131.67,3461994
2022-01-04,79131.67,80470.67,77390.59,77665.05,6560517
2022-01-05,77665.05,78275.57,73129.06,74410.29,3134155
2022-01-06,74410.29,74430.92,72328.29,73147.85,3094172
2022-01-07,73147.85,73490.61,70640.22,70695.03,4489581
2022-01-08,70695.03,73066.77,70438.6,72200.61,2542606
2022-01-09,72200.61,72872.71,69373.73,70008.61,2935096
2022-01-10,70008.61,72203.41,68257.13,72054.94,1518696
2022-01-11,72054.94,78313.19,71126.91,77918.45,877019
2022-01-12,77918.45,82527.37,77540.57,80621.7,4817293
2022-01-13,80621.7,81783.57,73598.12,73974.24,3086084
2022-01-14,73974.24,76638.76,73876.5,76195.42,6358534
2022-01-15,76195.42,85634.71,75891.32,84793.17,2358535
2022-01-16,84793.17,86368.62,80573.47,80789.28,4215853
2022-01-17,80789.28,81512.37,76288.38,76399.05,2403925
2022-01-18,76399.05,76660.96,72976.66,74581.51,2281681
2022-01-19,74581.51,75317.77,73725.61,74104.97,3005173
2022-01-20,74104.97,78255.1,74031.91,77359.97,3299972
2022-01-21,77359.97,79539.96,77064.81,79354.89,4494199
2022-01-22,79354.89,80189.13,79328.52,79596.31,2945949
2022-01-23,79596.31,81094.19,77763.67,79317.82,4715307
2022-01-24,79317.82,82824.67,78805.24,81772.0,7941839
2022-01-25,81772.0,82523.61,78229.09,78437.56,6693926
2022-01-26,78437.56,80356.49,78332.21,79965.71,4903227
2022-01-27,79965.71,83704.95,78697.74,82266.49,4827230
2022-01-28,82266.49,83485.7,78628.36,79507.48,2935943
2022-01-29,79507.48,80127.37,78690.77,78729.8,3015655
2022-01-30,78729.8,79685.04,73654.7,74915.86,2184865
2022-01-31,74915.86,78773.08,73498.91,77520.67,2594623
2022-02-01,77520.67,78409.57,68560.9,69333.79,3432632
2022-02-02,69333.79,69442.85,67904.13,69125.79,1582495
2022-02-03,69125.79,69432.44,67136.0,67166.98,3186946
2022-02-04,67166.98,68143.02,63853.73,63934.13,3245892
2022-02-05,63934.13,63994.87,62057.7,62069.06,3987289
2022-02-06,62069.06,62145.61,59119.17,59376.43,5443660
2022-02-07,59376.43,61077.94,58169.13,60563.89,3411548
2022-02-08,60563.89,62285.55,60386.28,61970.29,1809375
2022-02-09,61970.29,62320.31,60350.91,60900.28,5555624
2022-02-10,60900.28,63633.09,60477.71,63231.98,4104054
2022-02-11,63231.98,64791.51,63068.86,64302.32,1963460
2022-02-12,64302.32,65036.75,60155.41,60566.37,3395074
2022-02-13,60566.37,67522.92,60490.9,66219.78,1818830
2022-02-14,66219.78,66513.52,65045.69,66254.78,6143841
2022-02-15,66254.78,66687.93,64066.28,64220.72,974936
2022-02-16,64220.72,70579.49,64185.46,70389.64,3770721
2022-02-17,70389.64,72206.79,69569.03,71743.88,2951347
2022-02-18,71743.88,72463.88,71007.19,71476.0,3603326
2022-02-19,71476.0,71778.47,70795.58,71500.67,5669309
2022-02-20,71500.67,72034.84,70104.11,70546.24,5031339
2022-02-21,70546.24,73344.56,70182.89,72970.16,4675417
2022-02-22,72970.16,74559.47,72102.61,74119.32,4658257
2022-02-23,74119.32,75908.89,73511.36,75105.16,3229978
2022-02-24,75105.16,76331.29,70306.95,70868.52,2802491
2022-02-25,70868.52,71019.68,65278.63,66242.47,3274062
2022-02-26,66242.47,66297.13,64833.95,65893.22,2232511
2022-02-27,65893.22,66512.55,64085.83,64185.27,4640664
2022-02-28,64185.27,64591.79,63219.77,63624.05,1759201
2022-03-01,63624.05,63998.16,63080.27,63821.14,3865179
2022-03-02,63821.14,64544.15,62672.03,63902.75,6073667
2022-03-03,63902.75,64752.36,63363.81,64435.57,4324143
2022-03-04,64435.57,65924.33,64182.72,65033.56,2534528
2022-03-05,65033.56,66191.0,64815.54,65040.38,2035503
2022-03-06,65040.38,65050.38,63471.15,63679.95,3532778
2022-03-07,63679.95,66151.3,63506.12,65582.61,2216035
2022-03-08,65582.61,67649.47,65410.42,67320.81,3601262
2022-03-09,67320.81,69488.37,67276.68,69393.04,8805137
2022-03-10,69393.04,74245.75,68723.12,73272.62,6065122
2022-03-11,73272.62,73718.43,73123.65,73573.26,2835300
2022-03-12,73573.26,73676.09,72518.28,72518.67,4415375
2022-03-13,72518.67,74183.83,67958.35,68926.46,1610010
2022-03-14,68926.46,72205.41,68497.6,71975.03,1849791
2022-03-15,71975.03,74721.23,71276.19,74664.66,7283533
2022-03-16,74664.66,74976.73,72167.15,72800.26,5738551
2022-03-17,72800.26,73996.13,69708.13,69842.43,3035505
2022-03-18,69842.43,70828.98,67737.11,67764.84,1980591
2022-03-19,67764.84,68112.61,62364.1,62474.36,3406394
2022-03-20,62474.36,64154.14,62088.87,63977.87,3928209
2022-03-21,63977.87,64290.47,62715.41,63797.53,2773810
2022-03-22,63797.53,64011.94,62394.63,62874.45,3498612
2022-03-23,62874.45,63725.49,58457.25,59582.05,2274869
2022-03-24,59582.05,62748.37,59012.62,62235.95,8533417
2022-03-25,62235.95,66920.55,62014.52,66398.45,4800634
2022-03-26,66398.45,69522.24,65778.06,69397.52,2342854
